"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030948","negative regulation of vascular endothelial growth factor receptor signaling pathway","1/1","11/18986",0.0909090909090909,1726,41.5331193145904,0.000579374275781919,0.00602357718127139,NA,"CADM4",1
"BP","GO:0010801","negative regulation of peptidyl-threonine phosphorylation","1/1","17/18986",0.0588235294117647,1116.82352941176,33.4039448181164,0.000895396608026955,0.00602357718127139,NA,"CADM4",1
"BP","GO:1900747","negative regulation of vascular endothelial growth factor signaling pathway","1/1","17/18986",0.0588235294117647,1116.82352941176,33.4039448181164,0.000895396608026955,0.00602357718127139,NA,"CADM4",1
"BP","GO:1902548","negative regulation of cellular response to vascular endothelial growth factor stimulus","1/1","19/18986",0.0526315789473684,999.263157894737,31.5953027821342,0.00100073738544171,0.00602357718127139,NA,"CADM4",1
"BP","GO:0035020","regulation of Rac protein signal transduction","1/1","28/18986",0.0357142857142857,678.071428571429,26.0205962378157,0.0014747708838091,0.00602357718127139,NA,"CADM4",1
"BP","GO:1900746","regulation of vascular endothelial growth factor signaling pathway","1/1","30/18986",0.0333333333333333,632.866666666667,25.1369581824585,0.00158011166122396,0.00602357718127139,NA,"CADM4",1
"BP","GO:1902547","regulation of cellular response to vascular endothelial growth factor stimulus","1/1","32/18986",0.03125,593.3125,24.3374711093819,0.00168545243863893,0.00602357718127139,NA,"CADM4",1
"BP","GO:0099560","synaptic membrane adhesion","1/1","33/18986",0.0303030303030303,575.333333333333,23.9652526240249,0.00173812282734631,0.00602357718127139,NA,"CADM4",1
"BP","GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway","1/1","36/18986",0.0277777777777778,527.388888888889,22.9431664965603,0.00189613399346888,0.00602357718127139,NA,"CADM4",1
"BP","GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","1/1","36/18986",0.0277777777777778,527.388888888889,22.9431664965603,0.00189613399346888,0.00602357718127139,NA,"CADM4",1
"BP","GO:0010799","regulation of peptidyl-threonine phosphorylation","1/1","37/18986",0.027027027027027,513.135135135135,22.6304028937873,0.00194880438217604,0.00602357718127139,NA,"CADM4",1
"BP","GO:0016601","Rac protein signal transduction","1/1","51/18986",0.0196078431372549,372.274509803922,19.2684848860496,0.00268618982408086,0.0070254195399038,NA,"CADM4",1
"BP","GO:0038084","vascular endothelial growth factor signaling pathway","1/1","51/18986",0.0196078431372549,372.274509803922,19.2684848860496,0.00268618982408086,0.0070254195399038,NA,"CADM4",1
"BP","GO:0048010","vascular endothelial growth factor receptor signaling pathway","1/1","62/18986",0.0161290322580645,306.225806451613,17.4707128203635,0.00326556409986301,0.00793065567109587,NA,"CADM4",1
"BP","GO:0035924","cellular response to vascular endothelial growth factor stimulus","1/1","78/18986",0.0128205128205128,243.410256410256,15.5695297427461,0.00410829031918247,0.00884204150426617,NA,"CADM4",1
"BP","GO:0018107","peptidyl-threonine phosphorylation","1/1","79/18986",0.0126582278481013,240.329113924051,15.4702654768446,0.00416096070788996,0.00884204150426617,NA,"CADM4",1
"BP","GO:0018210","peptidyl-threonine modification","1/1","89/18986",0.0112359550561798,213.325842696629,14.5714049664619,0.00468766459496484,0.00937532918992967,NA,"CADM4",1
"BP","GO:0090288","negative regulation of cellular response to growth factor stimulus","1/1","139/18986",0.00719424460431655,136.589928057554,11.6443088269572,0.0073211840303381,0.0131953184340814,NA,"CADM4",1
"BP","GO:0061041","regulation of wound healing","1/1","140/18986",0.00714285714285714,135.614285714286,11.6023396655281,0.00737385441904548,0.0131953184340814,NA,"CADM4",1
"BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","1/1","162/18986",0.00617283950617284,117.197530864198,10.7794958538977,0.00853260297060976,0.0143263457284318,NA,"CADM4",1
"BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","1/1","168/18986",0.00595238095238095,113.011904761905,10.5835676764456,0.00884862530285491,0.0143263457284318,NA,"CADM4",1
"BP","GO:1903034","regulation of response to wounding","1/1","181/18986",0.00552486187845304,104.895027624309,10.1928910336719,0.0095333403560518,0.0147333441866255,NA,"CADM4",1
"BP","GO:0018108","peptidyl-tyrosine phosphorylation","1/1","204/18986",0.00490196078431373,93.0686274509804,9.59523983290571,0.0107447592963237,0.0153709751044628,NA,"CADM4",1
"BP","GO:0018212","peptidyl-tyrosine modification","1/1","206/18986",0.00485436893203883,92.1650485436893,9.54803898943073,0.0108501000737384,0.0153709751044628,NA,"CADM4",1
"BP","GO:0001933","negative regulation of protein phosphorylation","1/1","236/18986",0.00423728813559322,80.4491525423729,8.91342541015366,0.0124302117349625,0.016905087959549,NA,"CADM4",1
"BP","GO:0042326","negative regulation of phosphorylation","1/1","256/18986",0.00390625,74.1640625,8.55359938856152,0.0134836195091119,0.0176324255119156,NA,"CADM4",1
"BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","1/1","280/18986",0.00357142857142857,67.8071428571428,8.17356365712918,0.0147477088380912,0.01826609080375,NA,"CADM4",1
"BP","GO:0051056","regulation of small GTPase mediated signal transduction","1/1","300/18986",0.00333333333333333,63.2866666666667,7.89219023254424,0.0158011166122404,0.01826609080375,NA,"CADM4",1
"BP","GO:0010563","negative regulation of phosphorus metabolic process","1/1","306/18986",0.00326797385620915,62.0457516339869,7.81317807514887,0.0161171389444853,0.01826609080375,NA,"CADM4",1
"BP","GO:0045936","negative regulation of phosphate metabolic process","1/1","306/18986",0.00326797385620915,62.0457516339869,7.81317807514887,0.0161171389444853,0.01826609080375,NA,"CADM4",1
"BP","GO:0031400","negative regulation of protein modification process","1/1","342/18986",0.00292397660818713,55.5146198830409,7.38340164714347,0.0180132729379543,0.0197564928996918,NA,"CADM4",1
"BP","GO:0090287","regulation of cellular response to growth factor stimulus","1/1","381/18986",0.0026246719160105,49.8320209973753,6.98799119900529,0.0200674180975454,0.021321631728642,NA,"CADM4",1
"BP","GO:0042060","wound healing","1/1","444/18986",0.00225225225225225,42.7612612612613,6.46229535546475,0.023385652586116,0.0240943087250892,NA,"CADM4",1
"BP","GO:0007264","small GTPase-mediated signal transduction","1/1","491/18986",0.00203665987780041,38.6680244399185,6.13742816169106,0.0258611608553668,0.0258611608553668,NA,"CADM4",1
"CC","GO:0044291","cell-cell contact zone","1/2","76/19960",0.0131578947368421,131.315789473684,11.3940425268008,0.00760092257263623,0.0335737158971474,NA,"CADM4",1
"CC","GO:0032588","trans-Golgi network membrane","1/2","112/19960",0.00892857142857143,89.1071428571428,9.36025395044009,0.0111912386323825,0.0335737158971474,NA,"CABP7",1
"CC","GO:0005802","trans-Golgi network","1/2","269/19960",0.00371747211895911,37.1003717472119,5.96732656938306,0.0267729456608491,0.0448768120940511,NA,"CABP7",1
"CC","GO:0098791","Golgi apparatus subcompartment","1/2","391/19960",0.00255754475703325,25.5242966751918,4.90260045376094,0.0387955830494595,0.0448768120940511,NA,"CABP7",1
"CC","GO:0031252","cell leading edge","1/2","433/19960",0.0023094688221709,23.0484988452656,4.64334645548514,0.0429172338363785,0.0448768120940511,NA,"CADM4",1
"CC","GO:0097060","synaptic membrane","1/2","453/19960",0.0022075055187638,22.0309050772627,4.53249882306296,0.0448768120940511,0.0448768120940511,NA,"CADM4",1
"MF","GO:0005172","vascular endothelial growth factor receptor binding","1/2","13/18737",0.0769230769230769,720.653846153846,26.8177661057121,0.00138718438293717,0.00971029068056017,NA,"CADM4",1
"MF","GO:0030971","receptor tyrosine kinase binding","1/2","82/18737",0.0121951219512195,114.25,10.618767163252,0.0087338151947034,0.0214367996539083,NA,"CADM4",1
"MF","GO:1990782","protein tyrosine kinase binding","1/2","126/18737",0.00793650793650794,74.3531746031746,8.53583320433514,0.0134044602834681,0.0214367996539083,NA,"CADM4",1
"MF","GO:0070851","growth factor receptor binding","1/2","138/18737",0.0072463768115942,67.8876811594203,8.14830870459946,0.0146763583582481,0.0214367996539083,NA,"CADM4",1
"MF","GO:0019903","protein phosphatase binding","1/2","144/18737",0.00694444444444444,65.0590277777778,7.97284722909053,0.0153119997527916,0.0214367996539083,NA,"CADM4",1
"MF","GO:0019902","phosphatase binding","1/2","191/18737",0.00523560209424084,49.0497382198953,6.89618922808469,0.0202840949514351,0.023664777443341,NA,"CADM4",1
"MF","GO:0005126","cytokine receptor binding","1/2","277/18737",0.0036101083032491,33.8212996389892,5.6859940143133,0.029349389616083,0.029349389616083,NA,"CADM4",1
