"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0005736","RNA polymerase I complex","2/11","13/19960",0.153846153846154,279.160839160839,23.5577623695745,2.14660219573937e-05,0.000266026147726624,0.000140013761961381,"POLR1B/POLR1C",2
"CC","GO:0055029","nuclear DNA-directed RNA polymerase complex","3/11","111/19960",0.027027027027027,49.041769041769,11.9183553814515,2.67356734326577e-05,0.000266026147726624,0.000140013761961381,"POLR1B/POLR1C/POLR3GL",3
"CC","GO:0000428","DNA-directed RNA polymerase complex","3/11","114/19960",0.0263157894736842,47.7511961722488,11.7547616072279,2.89572733882939e-05,0.000266026147726624,0.000140013761961381,"POLR1B/POLR1C/POLR3GL",3
"CC","GO:0030880","RNA polymerase complex","3/11","117/19960",0.0256410256410256,46.5268065268065,11.5974262384105,3.12971938501911e-05,0.000266026147726624,0.000140013761961381,"POLR1B/POLR1C/POLR3GL",3
"CC","GO:0005666","RNA polymerase III complex","2/11","18/19960",0.111111111111111,201.616161616162,19.9950723490214,4.20431732162917e-05,0.000285893577870784,0.000150470304142518,"POLR1C/POLR3GL",2
"CC","GO:0061695","transferase complex, transferring phosphorus-containing groups","3/11","302/19960",0.00993377483443709,18.0252859723058,7.00056976643016,0.000517131389167031,0.00293041120527984,0.00154232168698939,"POLR1B/POLR1C/POLR3GL",3
"CC","GO:0005643","nuclear pore","2/11","98/19960",0.0204081632653061,37.0315398886827,8.39633076098795,0.0012750447266497,0.00619307438658428,0.00325951283504436,"POM121/POM121C",2
"CC","GO:0001650","fibrillar center","2/11","150/19960",0.0133333333333333,24.1939393939394,6.69550095413189,0.00295131241121717,0.012543077747673,0.0066016198671963,"POLR1B/POLR1C",2
"CC","GO:0000164","protein phosphatase type 1 complex","1/11","19/19960",0.0526315789473684,95.5023923444976,9.67723534802046,0.010423846313421,0.0393789749618126,0.0207257762956908,"PPP1R15B",1
"CC","GO:0031965","nuclear membrane","2/11","312/19960",0.00641025641025641,11.6317016317016,4.4445323216121,0.0122039920300529,0.0414935729021798,0.0218387225800946,"POM121/POM121C",2
"CC","GO:0035267","NuA4 histone acetyltransferase complex","1/11","32/19960",0.03125,56.7045454545455,7.40523650132639,0.0174989322375297,0.0495803080063343,0.0260948989507022,"POTEE",1
"CC","GO:0043189","H4/H2A histone acetyltransferase complex","1/11","32/19960",0.03125,56.7045454545455,7.40523650132639,0.0174989322375297,0.0495803080063343,0.0260948989507022,"POTEE",1
"MF","GO:0001054","RNA polymerase I activity","2/12","10/18737",0.2,312.283333333333,24.9252723190869,1.68722497071767e-05,0.000506167491215302,0.000195362891346257,"POLR1B/POLR1C",2
"MF","GO:0099186","structural constituent of postsynapse","2/12","23/18737",0.0869565217391304,135.775362318841,16.372283724216,9.44216876860746e-05,0.000615064576995532,0.000237393345507047,"POTEE/PPFIA2",2
"MF","GO:0016779","nucleotidyltransferase activity","3/12","146/18737",0.0205479452054795,32.083904109589,9.54506217579409,9.68423600734153e-05,0.000615064576995532,0.000237393345507047,"POLM/POLR1B/POLR1C",3
"MF","GO:0008139","nuclear localization sequence binding","2/12","25/18737",0.08,124.913333333333,15.6944495568148,0.000111882815987485,0.000615064576995532,0.000237393345507047,"POM121/POM121C",2
"MF","GO:0017056","structural constituent of nuclear pore","2/12","25/18737",0.08,124.913333333333,15.6944495568148,0.000111882815987485,0.000615064576995532,0.000237393345507047,"POM121/POM121C",2
"MF","GO:0003899","DNA-directed 5'-3' RNA polymerase activity","2/12","30/18737",0.0666666666666667,104.094444444444,14.3057939528039,0.000161941681501857,0.000615064576995532,0.000237393345507047,"POLR1B/POLR1C",2
"MF","GO:0098918","structural constituent of synapse","2/12","31/18737",0.0645161290322581,100.736559139785,14.0689897042457,0.000173048481703034,0.000615064576995532,0.000237393345507047,"POTEE/PPFIA2",2
"MF","GO:0034062","5'-3' RNA polymerase activity","2/12","32/18737",0.0625,97.5885416666667,13.8433082845384,0.00018451937309866,0.000615064576995532,0.000237393345507047,"POLR1B/POLR1C",2
"MF","GO:0097747","RNA polymerase activity","2/12","32/18737",0.0625,97.5885416666667,13.8433082845384,0.00018451937309866,0.000615064576995532,0.000237393345507047,"POLR1B/POLR1C",2
"MF","GO:0005048","signal sequence binding","2/12","48/18737",0.0416666666666667,65.0590277777778,11.2493150140944,0.000417250389933113,0.00125175116979934,0.000483132030448868,"POM121/POM121C",2
"MF","GO:0001056","RNA polymerase III activity","1/12","10/18737",0.1,156.141666666667,12.422599849131,0.00638754411900189,0.0162097779249764,0.00625640551490318,"POLR1C",1
"MF","GO:0016653","oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor","1/12","11/18737",0.0909090909090909,141.94696969697,11.8371656421285,0.00702423710082312,0.0162097779249764,0.00625640551490318,"POR",1
"MF","GO:0098973","structural constituent of postsynaptic actin cytoskeleton","1/12","11/18737",0.0909090909090909,141.94696969697,11.8371656421285,0.00702423710082312,0.0162097779249764,0.00625640551490318,"POTEE",1
"MF","GO:0010181","FMN binding","1/12","15/18737",0.0666666666666667,104.094444444444,10.1116707612178,0.00956727097222643,0.0205012949404852,0.00791278050334516,"POR",1
"MF","GO:0042277","peptide binding","2/12","249/18737",0.00803212851405622,12.541499330656,4.64125133052358,0.0106332054200836,0.0212664108401672,0.0082080883944505,"POM121/POM121C",2
"MF","GO:0003887","DNA-directed DNA polymerase activity","1/12","23/18737",0.0434782608695652,67.8876811594203,8.12540270532693,0.0146354375269923,0.0274414453631105,0.0105914350524286,"POLM",1
"MF","GO:0034061","DNA polymerase activity","1/12","35/18737",0.0285714285714286,44.6119047619048,6.53752254499211,0.0221931252617387,0.0391643386971859,0.015116060549791,"POLM",1
"MF","GO:0140098","catalytic activity, acting on RNA","2/12","397/18737",0.00503778337531486,7.86607892527288,3.50043911171425,0.0256841882527268,0.0428069804212114,0.0165219924432746,"POLR1B/POLR1C",2
